date,time,flow
2019-10-01,0,4
2019-10-01,1,4
2019-10-01,2,4
2019-10-01,3,8
2019-10-01,4,8
2019-10-01,5,30
2019-10-01,6,66
2019-10-01,7,137
2019-10-01,8,118
2019-10-01,9,105
2019-10-01,10,148
2019-10-01,11,132
2019-10-01,12,100
2019-10-01,13,92
2019-10-01,14,113
2019-10-01,15,136
2019-10-01,16,136
2019-10-01,17,115
2019-10-01,18,80
2019-10-01,19,52
2019-10-01,20,40
2019-10-01,21,44
2019-10-01,22,44
2019-10-01,23,26
2019-10-02,0,16
2019-10-02,1,8
2019-10-02,2,4
2019-10-02,3,12
2019-10-02,4,12
2019-10-02,5,30
2019-10-02,6,67
2019-10-02,7,128
2019-10-02,8,124
2019-10-02,9,133
2019-10-02,10,176
2019-10-02,11,161
2019-10-02,12,109
2019-10-02,13,118
2019-10-02,14,158
2019-10-02,15,101
2019-10-02,16,137
2019-10-02,17,111
2019-10-02,18,80
2019-10-02,19,58
2019-10-02,20,66
2019-10-02,21,97
2019-10-02,22,75
2019-10-02,23,26
2019-10-03,0,16
2019-10-03,1,12
2019-10-03,2,16
2019-10-03,3,17
2019-10-03,4,16
2019-10-03,5,26
2019-10-03,6,79
2019-10-03,7,144
2019-10-03,8,137
2019-10-03,9,110
2019-10-03,10,110
2019-10-03,11,109
2019-10-03,12,96
2019-10-03,13,101
2019-10-03,14,167
2019-10-03,15,163
2019-10-03,16,180
2019-10-03,17,151
2019-10-03,18,155
2019-10-03,19,115
2019-10-03,20,48
2019-10-03,21,48
2019-10-03,22,40
2019-10-03,23,31
2019-10-04,0,21
2019-10-04,1,43
2019-10-04,2,14
2019-10-04,3,16
2019-10-04,4,12
2019-10-04,5,23
2019-10-04,6,79
2019-10-04,7,162
2019-10-04,8,120
2019-10-04,9,101
2019-10-04,10,104
2019-10-04,11,114
2019-10-04,12,133
2019-10-04,13,141
2019-10-04,14,150
2019-10-04,15,142
2019-10-04,16,141
2019-10-04,17,114
2019-10-04,18,118
2019-10-04,19,88
2019-10-04,20,53
2019-10-04,21,61
2019-10-04,22,48
2019-10-04,23,48
2019-10-05,0,36
2019-10-05,1,18
2019-10-05,2,16
2019-10-05,3,21
2019-10-05,4,4
2019-10-05,5,18
2019-10-05,6,32
2019-10-05,7,57
2019-10-05,8,80
2019-10-05,9,92
2019-10-05,10,96
2019-10-05,11,127
2019-10-05,12,113
2019-10-05,13,115
2019-10-05,14,105
2019-10-05,15,96
2019-10-05,16,109
2019-10-05,17,101
2019-10-05,18,88
2019-10-05,19,76
2019-10-05,20,57
2019-10-05,21,56
2019-10-05,22,53
2019-10-05,23,96
2019-10-06,0,36
2019-10-06,1,32
2019-10-06,2,21
2019-10-06,3,21
2019-10-06,4,9
2019-10-06,5,12
2019-10-06,6,26
2019-10-06,7,48
2019-10-06,8,52
2019-10-06,9,62
2019-10-06,10,67
2019-10-06,11,92
2019-10-06,12,88
2019-10-06,13,92
2019-10-06,14,80
2019-10-06,15,80
2019-10-06,16,92
2019-10-06,17,80
2019-10-06,18,67
2019-10-06,19,48
2019-10-06,20,36
2019-10-06,21,36
2019-10-06,22,28
2019-10-06,23,17
2019-10-07,0,16
2019-10-07,1,12
2019-10-07,2,8
2019-10-07,3,8
2019-10-07,4,16
2019-10-07,5,25
2019-10-07,6,80
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,21
2019-10-07,11,122
2019-10-07,12,101
2019-10-07,13,92
2019-10-07,14,105
2019-10-07,15,101
2019-10-07,16,106
2019-10-07,17,110
2019-10-07,18,66
2019-10-07,19,52
2019-10-07,20,36
2019-10-07,21,36
2019-10-07,22,22
2019-10-07,23,29
2019-10-08,0,8
2019-10-08,1,4
2019-10-08,2,0
2019-10-08,3,4
2019-10-08,4,12
2019-10-08,5,31
2019-10-08,6,71
2019-10-08,7,132
2019-10-08,8,118
2019-10-08,9,105
2019-10-08,10,153
2019-10-08,11,131
2019-10-08,12,100
2019-10-08,13,91
2019-10-08,14,109
2019-10-08,15,135
2019-10-08,16,128
2019-10-08,17,115
2019-10-08,18,80
2019-10-08,19,57
2019-10-08,20,44
2019-10-08,21,56
2019-10-08,22,40
2019-10-08,23,26
2019-10-09,0,12
2019-10-09,1,8
2019-10-09,2,0
2019-10-09,3,12
2019-10-09,4,12
2019-10-09,5,21
2019-10-09,6,67
2019-10-09,7,128
2019-10-09,8,128
2019-10-09,9,130
2019-10-09,10,172
2019-10-09,11,149
2019-10-09,12,96
2019-10-09,13,126
2019-10-09,14,152
2019-10-09,15,114
2019-10-09,16,145
2019-10-09,17,120
