date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,4
2019-10-01,4,4
2019-10-01,5,16
2019-10-01,6,26
2019-10-01,7,62
2019-10-01,8,71
2019-10-01,9,52
2019-10-01,10,57
2019-10-01,11,62
2019-10-01,12,62
2019-10-01,13,62
2019-10-01,14,76
2019-10-01,15,61
2019-10-01,16,71
2019-10-01,17,48
2019-10-01,18,48
2019-10-01,19,40
2019-10-01,20,25
2019-10-01,21,12
2019-10-01,22,16
2019-10-01,23,8
2019-10-02,0,8
2019-10-02,1,8
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,4
2019-10-02,5,12
2019-10-02,6,24
2019-10-02,7,57
2019-10-02,8,82
2019-10-02,9,76
2019-10-02,10,75
2019-10-02,11,62
2019-10-02,12,67
2019-10-02,13,57
2019-10-02,14,71
2019-10-02,15,71
2019-10-02,16,62
2019-10-02,17,62
2019-10-02,18,44
2019-10-02,19,31
2019-10-02,20,21
2019-10-02,21,12
2019-10-02,22,12
2019-10-02,23,12
2019-10-03,0,4
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,4
2019-10-03,5,12
2019-10-03,6,26
2019-10-03,7,58
2019-10-03,8,66
2019-10-03,9,52
2019-10-03,10,52
2019-10-03,11,67
2019-10-03,12,72
2019-10-03,13,75
2019-10-03,14,88
2019-10-03,15,80
2019-10-03,16,77
2019-10-03,17,62
2019-10-03,18,73
2019-10-03,19,26
2019-10-03,20,16
2019-10-03,21,44
2019-10-03,22,21
2019-10-03,23,8
2019-10-04,0,9
2019-10-04,1,0
2019-10-04,2,4
2019-10-04,3,0
2019-10-04,4,0
2019-10-04,5,12
2019-10-04,6,21
2019-10-04,7,53
2019-10-04,8,71
2019-10-04,9,52
2019-10-04,10,90
2019-10-04,11,84
2019-10-04,12,84
2019-10-04,13,77
2019-10-04,14,88
2019-10-04,15,76
2019-10-04,16,79
2019-10-04,17,57
2019-10-04,18,53
2019-10-04,19,36
2019-10-04,20,26
2019-10-04,21,16
2019-10-04,22,16
2019-10-04,23,8
2019-10-05,0,4
2019-10-05,1,12
2019-10-05,2,8
2019-10-05,3,0
2019-10-05,4,0
2019-10-05,5,4
2019-10-05,6,16
2019-10-05,7,21
2019-10-05,8,36
2019-10-05,9,49
2019-10-05,10,62
2019-10-05,11,62
2019-10-05,12,75
2019-10-05,13,62
2019-10-05,14,57
2019-10-05,15,48
2019-10-05,16,48
2019-10-05,17,40
2019-10-05,18,36
2019-10-05,19,21
2019-10-05,20,16
2019-10-05,21,16
2019-10-05,22,16
2019-10-05,23,16
2019-10-06,0,16
2019-10-06,1,4
2019-10-06,2,4
2019-10-06,3,4
2019-10-06,4,0
2019-10-06,5,0
2019-10-06,6,4
2019-10-06,7,12
2019-10-06,8,16
2019-10-06,9,36
2019-10-06,10,40
2019-10-06,11,35
2019-10-06,12,44
2019-10-06,13,36
2019-10-06,14,49
2019-10-06,15,40
2019-10-06,16,36
2019-10-06,17,40
2019-10-06,18,36
2019-10-06,19,26
2019-10-06,20,21
2019-10-06,21,8
2019-10-06,22,8
2019-10-06,23,0
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,12
2019-10-07,6,35
2019-10-07,7,53
2019-10-07,8,56
2019-10-07,9,62
2019-10-07,10,54
2019-10-07,11,80
2019-10-07,12,72
2019-10-07,13,67
2019-10-07,14,81
2019-10-07,15,88
2019-10-07,16,80
2019-10-07,17,57
2019-10-07,18,44
2019-10-07,19,30
2019-10-07,20,16
2019-10-07,21,16
2019-10-07,22,8
2019-10-07,23,0
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,4
2019-10-08,5,8
2019-10-08,6,26
2019-10-08,7,63
2019-10-08,8,69
2019-10-08,9,56
2019-10-08,10,62
2019-10-08,11,57
2019-10-08,12,67
2019-10-08,13,57
2019-10-08,14,72
2019-10-08,15,62
2019-10-08,16,71
2019-10-08,17,48
2019-10-08,18,44
2019-10-08,19,36
2019-10-08,20,21
2019-10-08,21,8
2019-10-08,22,4
2019-10-08,23,8
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,0
2019-10-09,5,8
2019-10-09,6,26
2019-10-09,7,71
2019-10-09,8,83
2019-10-09,9,70
2019-10-09,10,72
2019-10-09,11,62
2019-10-09,12,67
2019-10-09,13,52
2019-10-09,14,76
2019-10-09,15,71
2019-10-09,16,75
2019-10-09,17,62
2019-10-09,18,40
2019-10-09,19,31
2019-10-09,20,26
2019-10-09,21,17
2019-10-09,22,17
2019-10-09,23,4
2019-10-10,0,8
2019-10-10,1,9
2019-10-10,2,4
2019-10-10,3,0
2019-10-10,4,4
2019-10-10,5,8
2019-10-10,6,26
2019-10-10,7,58
2019-10-10,8,80
2019-10-10,9,53
2019-10-10,10,52
2019-10-10,11,76
2019-10-10,12,80
2019-10-10,13,76
2019-10-10,14,71
2019-10-10,15,88
2019-10-10,16,77
2019-10-10,17,62
2019-10-10,18,49
2019-10-10,19,26
2019-10-10,20,21
2019-10-10,21,16
2019-10-10,22,16
2019-10-10,23,4
2019-10-11,0,0
2019-10-11,1,0
2019-10-11,2,4
2019-10-11,3,0
2019-10-11,4,0
2019-10-11,5,15
2019-10-11,6,26
2019-10-11,7,48
2019-10-11,8,57
2019-10-11,9,57
2019-10-11,10,84
2019-10-11,11,83
2019-10-11,12,80
2019-10-11,13,72
2019-10-11,14,84
2019-10-11,15,76
2019-10-11,16,78
2019-10-11,17,71
2019-10-11,18,62
2019-10-11,19,36
2019-10-11,20,26
2019-10-11,21,16
2019-10-11,22,12
