date,time,flow
2019-10-01,0,8
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,4
2019-10-01,4,16
2019-10-01,5,36
2019-10-01,6,84
2019-10-01,7,173
2019-10-01,8,155
2019-10-01,9,128
2019-10-01,10,127
2019-10-01,11,123
2019-10-01,12,132
2019-10-01,13,119
2019-10-01,14,123
2019-10-01,15,109
2019-10-01,16,127
2019-10-01,17,141
2019-10-01,18,110
2019-10-01,19,84
2019-10-01,20,62
2019-10-01,21,57
2019-10-01,22,31
2019-10-01,23,12
2019-10-02,0,12
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,4
2019-10-02,4,12
2019-10-02,5,26
2019-10-02,6,79
2019-10-02,7,164
2019-10-02,8,168
2019-10-02,9,123
2019-10-02,10,137
2019-10-02,11,137
2019-10-02,12,140
2019-10-02,13,119
2019-10-02,14,129
2019-10-02,15,119
2019-10-02,16,127
2019-10-02,17,137
2019-10-02,18,100
2019-10-02,19,85
2019-10-02,20,67
2019-10-02,21,52
2019-10-02,22,40
2019-10-02,23,16
2019-10-03,0,12
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,4
2019-10-03,4,16
2019-10-03,5,26
2019-10-03,6,79
2019-10-03,7,163
2019-10-03,8,171
2019-10-03,9,116
2019-10-03,10,116
2019-10-03,11,133
2019-10-03,12,120
2019-10-03,13,128
2019-10-03,14,123
2019-10-03,15,133
2019-10-03,16,141
2019-10-03,17,164
2019-10-03,18,168
2019-10-03,19,101
2019-10-03,20,80
2019-10-03,21,101
2019-10-03,22,62
2019-10-03,23,21
2019-10-04,0,12
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,16
2019-10-04,5,31
2019-10-04,6,70
2019-10-04,7,166
2019-10-04,8,154
2019-10-04,9,137
2019-10-04,10,142
2019-10-04,11,142
2019-10-04,12,146
2019-10-04,13,128
2019-10-04,14,140
2019-10-04,15,150
2019-10-04,16,141
2019-10-04,17,154
2019-10-04,18,133
2019-10-04,19,109
2019-10-04,20,80
2019-10-04,21,66
2019-10-04,22,48
2019-10-04,23,40
2019-10-05,0,26
2019-10-05,1,16
2019-10-05,2,16
2019-10-05,3,8
2019-10-05,4,12
2019-10-05,5,12
2019-10-05,6,36
2019-10-05,7,65
2019-10-05,8,88
2019-10-05,9,101
2019-10-05,10,111
2019-10-05,11,154
2019-10-05,12,155
2019-10-05,13,173
2019-10-05,14,145
2019-10-05,15,141
2019-10-05,16,123
2019-10-05,17,115
2019-10-05,18,124
2019-10-05,19,100
2019-10-05,20,67
2019-10-05,21,58
2019-10-05,22,48
2019-10-05,23,36
2019-10-06,0,26
2019-10-06,1,16
2019-10-06,2,16
2019-10-06,3,16
2019-10-06,4,12
2019-10-06,5,12
2019-10-06,6,16
2019-10-06,7,31
2019-10-06,8,53
2019-10-06,9,80
2019-10-06,10,88
2019-10-06,11,92
2019-10-06,12,104
2019-10-06,13,110
2019-10-06,14,101
2019-10-06,15,93
2019-10-06,16,118
2019-10-06,17,115
2019-10-06,18,101
2019-10-06,19,72
2019-10-06,20,63
2019-10-06,21,44
2019-10-06,22,26
2019-10-06,23,21
2019-10-07,0,8
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,12
2019-10-07,5,31
2019-10-07,6,62
2019-10-07,7,166
2019-10-07,8,150
2019-10-07,9,114
2019-10-07,10,83
2019-10-07,11,127
2019-10-07,12,120
2019-10-07,13,119
2019-10-07,14,127
2019-10-07,15,119
2019-10-07,16,123
2019-10-07,17,119
2019-10-07,18,97
2019-10-07,19,80
2019-10-07,20,62
2019-10-07,21,40
2019-10-07,22,26
2019-10-07,23,16
2019-10-08,0,8
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,4
2019-10-08,4,12
2019-10-08,5,36
2019-10-08,6,79
2019-10-08,7,164
2019-10-08,8,164
2019-10-08,9,120
2019-10-08,10,119
2019-10-08,11,132
2019-10-08,12,120
2019-10-08,13,111
2019-10-08,14,124
2019-10-08,15,114
2019-10-08,16,136
2019-10-08,17,145
